id,name,description,price,category,image
1,paquete x 8 Mediano,aguacate hass en tres estados de maduracion medianos para consumo programado,8400,PRODUCTOS NUEVOS,
2,paquete x 7 premium,aguacate hass en tres estados de maduracion medianos para consumo programado,12800,PRODUCTOS NUEVOS,
3,Promo paga 2 lleva tres,Aguacate Pinton y maduro,48000,PRODUCTOS NUEVOS,
4,x100 gr,"El ajo es un antibiótico natural, mejora la circulación, ayuda al cuidado de la piel, sirve como un anticancerígeno, purifica la sangre en las arterias, dolores de garganta.",1500,Productos,
5,x50gr,"El ajo es un antibiótico natural, mejora la circulación, ayuda al cuidado de la piel, sirve como un anticancerígeno, purifica la sangre en las arterias, dolores de garganta.",800,Productos,
6,Grande x500gr,"El ajo es un antibiótico natural, mejora la circulación, ayuda al cuidado de la piel, sirve como un anticancerígeno, purifica la sangre en las arterias, dolores de garganta.",6000,Productos,
7,X125grs,Los usos tradicionales de esta planta son muy variados e incluyen las flores para el tratamiento de diversos problemas incluyendo los siguientes. Sistema circulatorio. Alta presión sanguínea. Niveles altos de grasa en la sangre. Contra la diabetes. Obesidad. El té sin azúcar se usa en México contra la tos.,25800,Productos,
8,X50 grs,Los usos tradicionales de esta planta son muy variados e incluyen las flores para el tratamiento de diversos problemas incluyendo los siguientes. Sistema circulatorio. Alta presión sanguínea. Niveles altos de grasa en la sangre. Contra la diabetes. Obesidad. El té sin azúcar se usa en México contra la tos.,9900,Productos,
9,X500 grs,,7900,Productos,
10,Dos bandejas 1000gr (Ahorro),,13900,Productos,
11,Granada,"La granada ofrece múltiples beneficios: mejora la salud gastrointestinal y sexual, favorece la salud cardíaca y cutánea, fortalece el sistema inmunitario, y contribuye a una buena salud neurológica y a la prevención de la pérdida de memoria.",0,Productos,
12,x 125 grs,,6400,Productos,
13,X500 ml,Concentrado líquido para preparar bebidas sabor a limón,3800,Productos,
14,X1000ml,Concentrado líquido para preparar bebidas sabor a limón,6900,Productos,
15,X500 ml,Concentrado líquido para preparar bebidas sabor a mango,3600,Productos,
16,X1000ml,Concentrado líquido para preparar bebidas sabor a mango,6900,Productos,
17,X1000ml,Concentrado líquido para preparar bebidas sabor a coco,7900,Productos,
18,X500 ml,Concentrado líquido para preparar bebidas sabor a coco,3600,Productos,
19,Zumo lulo concentrado,Concentrado líquido para preparar bebidas sabor a lulo,0,Productos,
20,X125grs,"Los dátiles son una fruta sabrosa y saludable, y aportan una buena dosis de energía gracias a sus múltiples propiedades beneficiosas",13900,Productos,
21,X250grs,"Los dátiles son una fruta sabrosa y saludable, y aportan una buena dosis de energía gracias a sus múltiples propiedades beneficiosas",25900,Productos,
22,Mediano,"Los dátiles son una fruta sabrosa y saludable, y aportan una buena dosis de energía gracias a sus múltiples propiedades beneficiosas",0,Productos,
23,X1 Unidad,"La lechuga morada es baja en sodio y en calorías, y por lo general es más saludable que la lechuga verde. Proporciona mucha vitamina A, vitamina K y potasio. La vitamina A tiene muchas funciones",5600,Productos,
24,X 2 unidades,"La lechuga morada es baja en sodio y en calorías, y por lo general es más saludable que la lechuga verde. Proporciona mucha vitamina A, vitamina K y potasio. La vitamina A tiene muchas funciones",9900,Productos,
25,Bandeja,"La ciruelas son una fruta ricas en fibra, poseen gran cantidad de agua y evitan la retención de líquidos. Son poco calóricas y contienen vitaminas del grupo B, A, E y K; fósforo, sodio, magnesio, calcio, cobre, boro y zinc.",10000,Productos,
26,Pequeño x100 gr,"El adobo es un super alido en la cocina ya que permite que las carnes tengan una fibra más tierna y jugosa, con un aroma apetitoso y una textura blanda.",0,Productos,
27,X 500 grs,"La papa criolla cruda es antiinflamatoria, desintoxicante y rica en vitaminas y minerales que fortalecen la salud digestiva, inmunológica y cardiovascular.",3500,Productos,
28,X 1000 grs,"La papa criolla cruda es antiinflamatoria, desintoxicante y rica en vitaminas y minerales que fortalecen la salud digestiva, inmunológica y cardiovascular.",5800,Productos,
29,X 500 grs,"La papa sabanera es fuente de energía (carbohidratos), vitaminas C y B6, potasio y fibra. Beneficia el sistema inmune, la digestión y la salud cardiovascular.",3500,Productos,
30,X 1000 grs,"La papa sabanera es fuente de energía (carbohidratos), vitaminas C y B6, potasio y fibra. Beneficia el sistema inmune, la digestión y la salud cardiovascular.",5800,Productos,
31,X 90 grs,"Los pistachos son nutritivos y benefician la salud cardiovascular, regulan el azúcar en sangre, aportan antioxidantes, mejoran el ánimo y la digestión.",11500,Productos,
32,X 250 grs,"Los pistachos son nutritivos y benefician la salud cardiovascular, regulan el azúcar en sangre, aportan antioxidantes, mejoran el ánimo y la digestión.",25000,Productos,
33,Unidad,"La cidra es una fruta baja en calorías y rica en fibra, vitaminas y minerales. Ayuda a mejorar la salud cardiovascular, controlar la diabetes, fortalecer el sistema inmunológico y favorecer la digestión. Además, tiene propiedades antioxidantes y antiinflamatorias.",2000,Productos,
34,X 1000gr Ahorro,"El Ajo tiene entre sus propiedades medicinales naturales la peculiaridad de combatir infecciones respiratorias, dilata los bronquios, fluidifica las mucosas, estimula el sistema inmunológico",6500,Productos,
35,X 200grs,"El Ajo tiene entre sus propiedades medicinales naturales la peculiaridad de combatir infecciones respiratorias, dilata los bronquios, fluidifica las mucosas, estimula el sistema inmunológico",4200,Productos,
36,X 400gr(Ahorro),"El Ajo tiene entre sus propiedades medicinales naturales la peculiaridad de combatir infecciones respiratorias, dilata los bronquios, fluidifica las mucosas, estimula el sistema inmunológico",7900,Productos,
37,X 500grs,Pepino Europeo,9000,Productos,
38,X 1000gr,Pepino Europeo,17500,Productos,
39,X 500grs,Es buena para el corazón. Ayuda a mantener un peso ideal. Ayuda a controlar el azúcar. Elimina virus y parásitos.,6500,Productos,
40,X 1000gr,Es buena para el corazón. Ayuda a mantener un peso ideal. Ayuda a controlar el azúcar. Elimina virus y parásitos.,11800,Productos,
41,X5 unidades,,79900,Productos Varios,
42,X1 Unidad,,17000,Productos Varios,
43,x1kilo,,8800,Productos Varios,
44,Bandeja x 1000 grs,,12800,Productos Varios,
45,Bandeja x 500 grs,,6500,Productos Varios,
46,(2)bandejas 500g,Raíz china en bandeja,5900,Productos Varios,
47,Bandeja x 250g,Raíz china en bandeja,3500,Productos Varios,
48,2 Bandejas x125gr c/u (Ahorro),,12300,Productos Varios,
49,X 1000 ml,"El aceite de coco es beneficioso por sus propiedades antimicrobianas, mejora la salud cardiovascular, ayuda a quemar grasa, hidrata piel y cabello, y apoya la función cerebral. Es un aliado natural para la salud y el cuidado personal.",56000,Productos Varios,
50,X 500 ml,"El aceite de coco es beneficioso por sus propiedades antimicrobianas, mejora la salud cardiovascular, ayuda a quemar grasa, hidrata piel y cabello, y apoya la función cerebral. Es un aliado natural para la salud y el cuidado personal.",30000,Productos Varios,
51,X 250 ml,"El aceite de coco es beneficioso por sus propiedades antimicrobianas, mejora la salud cardiovascular, ayuda a quemar grasa, hidrata piel y cabello, y apoya la función cerebral. Es un aliado natural para la salud y el cuidado personal.",20500,Productos Varios,
52,X 105 ml,"El aceite de coco es beneficioso por sus propiedades antimicrobianas, mejora la salud cardiovascular, ayuda a quemar grasa, hidrata piel y cabello, y apoya la función cerebral. Es un aliado natural para la salud y el cuidado personal.",15000,Productos Varios,
53,X500 grs,"El corozo es una fruta rica en vitaminas A y C, minerales como magnesio e hierro, y antioxidantes que benefician la salud visual, el sistema inmunológico y el corazón. Además, ayuda a controlar el colesterol, el azúcar en sangre y puede aumentar la hemoglobina, siendo un aliado para la salud integral.",8500,Productos Varios,
54,X1000 grs,"El corozo es una fruta rica en vitaminas A y C, minerales como magnesio e hierro, y antioxidantes que benefician la salud visual, el sistema inmunológico y el corazón. Además, ayuda a controlar el colesterol, el azúcar en sangre y puede aumentar la hemoglobina, siendo un aliado para la salud integral.",15000,Productos Varios,
55,X 500 grs,"Los cubios son un tubérculo nutritivo que fortalece el sistema inmunológico, mejora la salud renal y cardiovascular, ayuda en la digestión y tiene propiedades antiinflamatorias y antimicrobianas.",3600,Productos Varios,
56,X 1000 grs,"Los cubios son un tubérculo nutritivo que fortalece el sistema inmunológico, mejora la salud renal y cardiovascular, ayuda en la digestión y tiene propiedades antiinflamatorias y antimicrobianas.",6900,Productos Varios,
57,X500 ml,Concentrado líquido para preparar bebidas sabor a cereza,4600,Concentrados,
58,X1000ml,Concentrado líquido para preparar bebidas sabor a cereza,7900,Concentrados,
59,X1000ml,Concentrado líquido para preparar bebidas sabor a Maracuya,9000,Concentrados,
60,X500 ml,Concentrado líquido para preparar bebidas sabor a Maracuya,4500,Concentrados,
61,X500 ml,Concentrado líquido para preparar bebidas sabor a Naranja,4600,Concentrados,
62,X1000ml,Concentrado líquido para preparar bebidas sabor a Naranja,7900,Concentrados,
63,Mediano x250gr,Selección de aguacates frescos de alta calidad.,0,Frutas Frescas,
64,Grande x500gr,Selección de aguacates frescos de alta calidad.,0,Frutas Frescas,
65,Unidad,"La sandía baby es una excelente fuente de hidratación debido a su alto contenido de agua. También aporta vitaminas A y C, potasio y magnesio, que son esenciales para el crecimiento.",7800,Frutas Frescas,
66,Unidad,"Es una fruta rica en antioxidantes, vitaminas y minerales que ayudan a combatir la inflamación, aumentar las defensas del organismo y controlar los niveles de azúcar en sangre",10000,Frutas Frescas,
67,Unidad,Es una planta originaria de América del Sur que es conocida por sus grandes beneficios nutricionales que ayudan para tratamientos complementarios de algunas enfermedades.,0,Frutas Frescas,
68,Unidad,"Esta fruta es un alimento energético, alcalinizante, depurativo, tonificante y capaz de estimular el sistema nervioso. Además, tiene un bajo contenido calórico por lo que es recomendable consumirla en caso de querer bajar de peso.",5000,Frutas Frescas,
69,Unidad,"El durazno es una fruta de múltiples propiedades medicinales. con piel aterciopelada, sabor dulce y delicado, el durazno es una fruta con múltiples beneficios para la salud.",0,Frutas Frescas,
70,x125grs,No description provided.,15000,Frutas Frescas,
71,x250grs (Ahorro),No description provided.,28000,Frutas Frescas,
72,x125,No description provided.,12000,Frutas Frescas,
73,x250 Ahorro,No description provided.,21900,Frutas Frescas,
74,X125 grs,"Las cerezas son una fruta rica en antioxidantes como las antocianinas y el ácido ascórbico, es decir, vitamina C. Estos antioxidantes combaten los radicales libres en nuestro cuerpo, ayudando a proteger nuestras células del estrés oxidativo y previniendo enfermedades crónicas. Además, contienen compuestos antiinflamatorios naturales, como las antocianinas y los flavonoides, que pueden ayudar a reducir la inflamación en el cuerpo",10900,Frutas Frescas,
75,X 250grs,"Las cerezas son una fruta rica en antioxidantes como las antocianinas y el ácido ascórbico, es decir, vitamina C. Estos antioxidantes combaten los radicales libres en nuestro cuerpo, ayudando a proteger nuestras células del estrés oxidativo y previniendo enfermedades crónicas. Además, contienen compuestos antiinflamatorios naturales, como las antocianinas y los flavonoides, que pueden ayudar a reducir la inflamación en el cuerpo",19900,Frutas Frescas,
76,X500grs,Uva verde importada sin semilla,20000,Frutas Frescas,
77,X1000 grs (Ahorro),Uva verde importada sin semilla,38500,Frutas Frescas,
78,Kiwis premium x bandeja x450grs,"Beneficios del consumo de kiwi Entre los analizados se encuentra su papel beneficioso como antioxidante y para mejorar la función inmunitaria, la mejora de la función del tracto digestivo y respiratorio, y la mejora del estado de ánimo.",11000,Frutas Frescas,
79,x2 bandejas x900grs (Ahorro),"Beneficios del consumo de kiwi Entre los analizados se encuentra su papel beneficioso como antioxidante y para mejorar la función inmunitaria, la mejora de la función del tracto digestivo y respiratorio, y la mejora del estado de ánimo.",20500,Frutas Frescas,
80,Lulos premium x 500 gr,Tiene propiedades diuréticas Aumenta cantidad y calidad de formación de cabello y uñas Fortalece los huesos Disminuye colesterol malo Facilita eliminación del ácido úrico Fortalece las defensas Ayuda a mejorar enfermedades nerviosas,3900,Frutas Frescas,
81,x500grs,Tiene propiedades diuréticas Aumenta cantidad y calidad de formación de cabello y uñas Fortalece los huesos Disminuye colesterol malo Facilita eliminación del ácido úrico Fortalece las defensas Ayuda a mejorar enfermedades nerviosas,4900,Frutas Frescas,
82,x1000grs (Ahorro),Tiene propiedades diuréticas Aumenta cantidad y calidad de formación de cabello y uñas Fortalece los huesos Disminuye colesterol malo Facilita eliminación del ácido úrico Fortalece las defensas Ayuda a mejorar enfermedades nerviosas,8500,Frutas Frescas,
83,x250grs,"La uchuva no solo ayuda a regular el tránsito intestinal, también posee propiedades diuréticas que contribuyen a eliminar toxinas acumuladas en el organismo previniendo además problemas de retención de líquidos. Su poder depurativo hace que también sea recomendable para mantener la salud renal.",4500,Frutas Frescas,
84,x500grs (Ahorro),"La uchuva no solo ayuda a regular el tránsito intestinal, también posee propiedades diuréticas que contribuyen a eliminar toxinas acumuladas en el organismo previniendo además problemas de retención de líquidos. Su poder depurativo hace que también sea recomendable para mantener la salud renal.",7900,Frutas Frescas,
85,kilo,"El mangostino Fortalece el sistema inmune, muy necesario en los tiempos actuales. Al ser un poderoso antioxidante te ayudará a neutralizar los radicales libres y así proteger la integridad celular",19000,Frutas Frescas,
86,x1000grs (Ahorro),"El mango es una fruta versátil, su ingesta diaria puede ayudar a prevenir cáncer de seno, de la sangre (leucemia), de próstata y de colon, combate la sequedad ocular, ayuda a la absorción de hierro,",6900,Frutas Frescas,
87,x1000grs (Ahorro),"El mango es una fruta versátil, su ingesta diaria puede ayudar a prevenir cáncer de seno, de la sangre (leucemia), de próstata y de colon, combate la sequedad ocular, ayuda a la absorción de hierro,",6000,Frutas Frescas,
88,x500grs,"El mango es una fruta versátil, su ingesta diaria puede ayudar a prevenir cáncer de seno, de la sangre (leucemia), de próstata y de colon, combate la sequedad ocular, ayuda a la absorción de hierro,",3700,Frutas Frescas,
89,X 1kilo,"En Taiwán, utilizan su fruta para mejorar los niveles de azúcar en sangre en pacientes con hipoglucemia. Disminuye los niveles sanguíneos de triglicéridos, colesterol y lípidos de baja densidad.",15500,Frutas Frescas,
90,X2 kilos,"En Taiwán, utilizan su fruta para mejorar los niveles de azúcar en sangre en pacientes con hipoglucemia. Disminuye los niveles sanguíneos de triglicéridos, colesterol y lípidos de baja densidad.",28500,Frutas Frescas,
91,X1 Unidad,"La granada ofrece múltiples beneficios: mejora la salud gastrointestinal y sexual, favorece la salud cardíaca y cutánea, fortalece el sistema inmunitario, y contribuye a una buena salud neurológica y a la prevención de la pérdida de memoria.",17000,Frutas Frescas,
92,X5 unidades,"La granada ofrece múltiples beneficios: mejora la salud gastrointestinal y sexual, favorece la salud cardíaca y cutánea, fortalece el sistema inmunitario, y contribuye a una buena salud neurológica y a la prevención de la pérdida de memoria.",79900,Frutas Frescas,
93,x1000 grs,,8800,Frutas Frescas,
94,Unidad,El Aloe Vera generar propiedades astringentes ayudan a eliminar la suciedad y la grasa acumulada en los poros. Aporta hidratación a la piel sin dar grasa. Regenera la piel y favorece la eliminación de los granitos,0,Productos Variados,
95,Unidad,"Las zarzamoras ademas de ser una fruta rica en propiedades tambien se caracteriza porque aporta diversos beneficios para la salud, ayudando a prevenir enfermedades, como la diabetes, presión alta, etc, debido a sus propiedades antiinflamatorias y antioxidantes.",0,Productos Variados,
96,Bandeja,"La Cúrcuma es un potente antiinflamatorio es útil para tratar el dolor y las enfermedades inflamatorias como artritis, artrosis, etc. Previene el parkinson y el alzhéimer. Ademas de darle un excelente sabor a las comidad.",3500,Productos Variados,
97,Kilo,"La Cúrcuma es un potente antiinflamatorio es útil para tratar el dolor y las enfermedades inflamatorias como artritis, artrosis, etc. Previene el parkinson y el alzhéimer. Ademas de darle un excelente sabor a las comidad.",6800,Productos Variados,
98,Unidad,"Las arvejas son ricas en proteínas y carbohidratos, bajas en grasa y constituyen una buena fuente de fibra, vitaminas A, B y C; cuando se consumen frescas o refrigeradas, suministran tiamina y hierro.",10000,Productos Variados,
99,Unidad,"Las habichuelas son legumbres que pertenecen a un grupo de alimentos indispensables dentro de una dieta equilibrada, gracias sobretodo a los diferentes beneficios y propiedades nutricionales que aportan.",4500,Productos Variados,
100,Unidad,Germinados de Cilantro,6700,Germinados,
101,Unidad,Germinados de Remolacha,6700,Germinados,
102,Unidad,Germinados de Alfalfa,6700,Germinados,
103,Unidad,Germinados de Repollo,6700,Germinados,
104,Unidad,Germinados de Rábano,6700,Germinados,
105,Paquete,"Mezcla de zanahoria, frijol, alverja y otros vegetales listos para sopa.",3600,Picados para sopa,
106,Unidad,,22900,Otros Productos,
107,Unidad,,28800,Otros Productos,
108,x120 grs,"La miel es buena para la salud porque es rica en energía, antioxidantes, vitaminas y minerales. También ayuda a fortalecer el sistema inmunológico y tiene propiedades antiinflamatorias y antibacterianas.",5500,Otros Productos,
109,x240 grs(Ahorro),"La miel es buena para la salud porque es rica en energía, antioxidantes, vitaminas y minerales. También ayuda a fortalecer el sistema inmunológico y tiene propiedades antiinflamatorias y antibacterianas.",9900,Otros Productos,
110,Frasco Grande,"La miel es buena para la salud porque es rica en energía, antioxidantes, vitaminas y minerales. También ayuda a fortalecer el sistema inmunológico y tiene propiedades antiinflamatorias y antibacterianas.",49200,Otros Productos,
111,X 140 grs,"Jengibre También se utiliza para los vértigos, náuseas y mareos de viaje, trastornos circulatorios y del riego sanguíneo, dolores y espasmos musculares, así como para los trastornos gástricos y digestivos. Desde la Antigüedad, el jengibre también se considera un afrodisíaco",4900,Otros Productos,
112,X250gr,"Jengibre También se utiliza para los vértigos, náuseas y mareos de viaje, trastornos circulatorios y del riego sanguíneo, dolores y espasmos musculares, así como para los trastornos gástricos y digestivos. Desde la Antigüedad, el jengibre también se considera un afrodisíaco",8900,Otros Productos,
113,X50 grs,Los usos tradicionales de esta planta son muy variados e incluyen las flores para el tratamiento de diversos problemas incluyendo los siguientes. Sistema circulatorio. Alta presión sanguínea. Niveles altos de grasa en la sangre. Contra la diabetes. Obesidad. El té sin azúcar se usa en México contra la tos.,7900,Otros Productos,
114,X250grs,Los usos tradicionales de esta planta son muy variados e incluyen las flores para el tratamiento de diversos problemas incluyendo los siguientes. Sistema circulatorio. Alta presión sanguínea. Niveles altos de grasa en la sangre. Contra la diabetes. Obesidad. El té sin azúcar se usa en México contra la tos.,25800,Otros Productos,
115,X500grs,Los usos tradicionales de esta planta son muy variados e incluyen las flores para el tratamiento de diversos problemas incluyendo los siguientes. Sistema circulatorio. Alta presión sanguínea. Niveles altos de grasa en la sangre. Contra la diabetes. Obesidad. El té sin azúcar se usa en México contra la tos.,50900,Otros Productos,
116,x100 gr,"El ajo es un antibiótico natural, mejora la circulación, ayuda al cuidado de la piel, sirve como un anticancerígeno, purifica la sangre en las arterias, dolores de garganta,",1500,Otros Productos,
117,x50gr,"El ajo es un antibiótico natural, mejora la circulación, ayuda al cuidado de la piel, sirve como un anticancerígeno, purifica la sangre en las arterias, dolores de garganta,",800,Otros Productos,
118,Grande x500gr,"El ajo es un antibiótico natural, mejora la circulación, ayuda al cuidado de la piel, sirve como un anticancerígeno, purifica la sangre en las arterias, dolores de garganta,",6000,Otros Productos,
119,X 1 bandeja,"El abichuelín es nutritivo, ayuda a controlar el azúcar y el colesterol, mejora la digestión y protege el corazón.",3200,Vegetales,
120,X 2 bandejas,"El abichuelín es nutritivo, ayuda a controlar el azúcar y el colesterol, mejora la digestión y protege el corazón.",6200,Vegetales,
121,Unidad,"El maíz dulce es rico en fibra, vitaminas (A, C y del grupo B) y minerales como potasio y hierro. Ayuda a mejorar la digestión, controlar el azúcar en sangre, proteger el corazón y la vista gracias a sus antioxidantes. Además, es un alimento energético y sin gluten, ideal para una dieta saludable.",7500,Vegetales,
122,X 1 bandeja,"El pimentón amarillo es rico en vitamina C, antioxidantes y fibra, lo que fortalece el sistema inmunológico, protege la vista, mejora la digestión y ayuda en el control de peso. Además, aporta minerales esenciales y tiene propiedades antiinflamatorias.",4500,Vegetales,
123,X 2 Bandejas,"El pimentón amarillo es rico en vitamina C, antioxidantes y fibra, lo que fortalece el sistema inmunológico, protege la vista, mejora la digestión y ayuda en el control de peso. Además, aporta minerales esenciales y tiene propiedades antiinflamatorias.",8000,Vegetales,
124,Paquete,"El ají guajillo aporta vitaminas y antioxidantes, tiene propiedades antiinflamatorias, mejora la circulación, acelera el metabolismo y facilita la digestión.",9000,Vegetales,
125,X500 grs(Ahorro),"Protege la vista. La vitamina A mejora nuestra visión, ayuda a proteger nuestros ojos de enfermedades degenerativas o ceguera nocturna. Mejora la circulación sanguínea. ... Cuida la piel. ... Evita el estreñimiento. ... Diurético. ... Antioxidante. ...",12800,Vegetales,
126,x 500gr,"Protege la vista. La vitamina A mejora nuestra visión, ayuda a proteger nuestros ojos de enfermedades degenerativas o ceguera nocturna. Mejora la circulación sanguínea. ... Cuida la piel. ... Evita el estreñimiento. ... Diurético. ... Antioxidante. ...",5000,Vegetales,
127,x1000gr Ahorro,"Protege la vista. La vitamina A mejora nuestra visión, ayuda a proteger nuestros ojos de enfermedades degenerativas o ceguera nocturna. Mejora la circulación sanguínea. ... Cuida la piel. ... Evita el estreñimiento. ... Diurético. ... Antioxidante. ...",9500,Vegetales,
128,X 500 gr,"Protege la vista. La vitamina A mejora nuestra visión, ayuda a proteger nuestros ojos de enfermedades degenerativas o ceguera nocturna. Mejora la circulación sanguínea. ... Cuida la piel. ... Evita el estreñimiento. ... Diurético. ... Antioxidante. ...",4900,Vegetales,
129,X 1000gr Ahorro,"Protege la vista. La vitamina A mejora nuestra visión, ayuda a proteger nuestros ojos de enfermedades degenerativas o ceguera nocturna. Mejora la circulación sanguínea. ... Cuida la piel. ... Evita el estreñimiento. ... Diurético. ... Antioxidante. ...",8500,Vegetales,
130,X 500grs,"Recomendados para: Favorece la formación de colágeno, huesos y dientes. Favorece el crecimiento de: cabello, visión, uñas, mucosas. Sistema inmunológico. ... Transmisión y generación del impulso nervioso y muscular. Por su vitamina E como uno de los grandes antioxidantes aliados contra el cáncer.",4900,Vegetales,
131,X 1000gr (Ahorro),"Recomendados para: Favorece la formación de colágeno, huesos y dientes. Favorece el crecimiento de: cabello, visión, uñas, mucosas. Sistema inmunológico. ... Transmisión y generación del impulso nervioso y muscular. Por su vitamina E como uno de los grandes antioxidantes aliados contra el cáncer.",8900,Vegetales,
132,X1Unidad,,6500,Vegetales,
133,X2 unidades (Ahorro),,11500,Vegetales,
134,X1 Unidad,,4800,Vegetales,
135,X2 unidades (Ahorro),,8500,Vegetales,
136,X2 unidades (Ahorro),"La lechuga romana es rica en vitaminas y minerales, como la vitamina A, C, K, B1, B2 y B3. Además, en lo que respecta a los minerales",7900,Vegetales,
137,X1 Unidad,"La lechuga romana es rica en vitaminas y minerales, como la vitamina A, C, K, B1, B2 y B3. Además, en lo que respecta a los minerales",4700,Vegetales,
